"","location","fault_severity","severity_type","n.event.types","n.features","max.vol","min.vol","n.resource_type","highest_feature","lowest_feature","sum_vol","sd_vol"
"787","location 897","2","severity_type 1",4,6,1,1,1,"feature 283","feature 283",6,0
"788","location 481","1","severity_type 1",2,3,1,1,1,"feature 220","feature 220",3,0
"789","location 810","2","severity_type 2",1,2,8,5,1,"feature 82","feature 203",13,2.12132034355964
"794","location 646","0","severity_type 1",1,4,9,2,1,"feature 80","feature 203",21,3.77491721763537
"795","location 723","1","severity_type 1",2,4,1,1,2,"feature 87","feature 87",4,0
"796","location 976","2","severity_type 1",2,4,12,3,1,"feature 82","feature 80",25,4.03112887414927
"797","location 126","0","severity_type 2",2,8,64,4,1,"feature 232","feature 315",169,25.8204653050914
"809","location 204","1","severity_type 1",2,3,2,1,1,"feature 301","feature 219",4,0.577350269189626
"810","location 1025","0","severity_type 4",1,2,2,2,1,"feature 362","feature 362",4,0
"811","location 314","0","severity_type 2",2,4,4,2,1,"feature 233","feature 312",12,1.15470053837925
"812","location 1024","0","severity_type 1",1,3,364,2,1,"feature 109","feature 24",678,195.72429588582
"813","location 737","0","severity_type 1",1,2,7,5,1,"feature 157","feature 42",12,1.4142135623731
"818","location 821","0","severity_type 2",1,3,2,2,1,"feature 71","feature 71",6,0
"821","location 1008","1","severity_type 2",1,3,33,1,1,"feature 82","feature 80",35,18.475208614068
"822","location 91","0","severity_type 2",2,2,207,191,1,"feature 235","feature 315",398,11.3137084989848
"827","location 167","0","severity_type 1",3,4,1,1,1,"feature 301","feature 301",4,0
"831","location 126","0","severity_type 2",2,6,3,1,1,"feature 313","feature 235",10,0.816496580927726
"836","location 128","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"839","location 825","1","severity_type 1",1,2,3,2,1,"feature 201","feature 80",5,0.707106781186548
"840","location 88","1","severity_type 4",1,2,1,1,1,"feature 39","feature 39",2,0
"841","location 949","1","severity_type 1",1,2,2,1,1,"feature 54","feature 170",3,0.707106781186548
"843","location 895","2","severity_type 1",4,7,4,1,1,"feature 376","feature 293",20,1.3451854182691
"845","location 995","2","severity_type 1",2,5,55,2,1,"feature 82","feature 80",95,21.4126131053639
"850","location 704","0","severity_type 1",2,3,17,1,1,"feature 82","feature 80",30,8.18535277187245
"853","location 159","0","severity_type 2",2,2,16,16,1,"feature 312","feature 312",32,0
"855","location 1019","2","severity_type 1",2,4,28,9,1,"feature 82","feature 80",74,8.9628864398325
"856","location 330","1","severity_type 2",2,4,2,1,1,"feature 232","feature 227",5,0.5
"858","location 1083","0","severity_type 1",1,1,2,2,1,"feature 54","feature 54",2,NA
"859","location 402","1","severity_type 1",3,4,2,1,1,"feature 301","feature 219",5,0.5
"866","location 785","1","severity_type 4",1,2,1,1,1,"feature 167","feature 167",2,0
"869","location 282","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"870","location 167","0","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"871","location 386","1","severity_type 2",2,4,22,2,1,"feature 312","feature 307",44,10.5198225587063
"873","location 655","1","severity_type 1",3,4,8,1,1,"feature 201","feature 137",14,3.3166247903554
"874","location 1100","2","severity_type 1",2,2,115,42,1,"feature 82","feature 203",157,51.618795026618
"878","location 999","0","severity_type 2",1,1,1,1,1,"feature 62","feature 62",1,NA
"881","location 889","0","severity_type 2",1,1,1,1,1,"feature 73","feature 73",1,NA
"883","location 1030","0","severity_type 2",1,1,2,2,1,"feature 54","feature 54",2,NA
"885","location 497","0","severity_type 2",2,4,5,2,1,"feature 232","feature 233",14,1.73205080756888
"886","location 1018","0","severity_type 1",2,2,4,2,1,"feature 193","feature 71",6,1.4142135623731
"888","location 85","1","severity_type 4",1,2,2,2,1,"feature 153","feature 153",4,0
"892","location 346","1","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"893","location 1019","0","severity_type 1",2,4,30,4,1,"feature 82","feature 56",59,12.1483880960946
"896","location 732","0","severity_type 1",1,2,1,1,1,"feature 55","feature 55",2,0
"897","location 373","0","severity_type 2",2,4,61,23,1,"feature 232","feature 233",158,19.0175357674612
"900","location 819","1","severity_type 4",1,2,2,1,1,"feature 40","feature 155",3,0.707106781186548
"901","location 684","0","severity_type 2",1,4,56,1,1,"feature 82","feature 71",90,26.6895734947813
"902","location 763","1","severity_type 2",1,2,4,1,1,"feature 82","feature 203",5,2.12132034355964
"903","location 846","1","severity_type 2",1,2,8,3,1,"feature 82","feature 203",11,3.53553390593274
"905","location 1107","1","severity_type 1",2,7,53,1,1,"feature 80","feature 203",111,21.6750899377494
"906","location 1120","0","severity_type 1",1,2,9,6,1,"feature 87","feature 209",15,2.12132034355964
"909","location 59","1","severity_type 2",1,2,3,1,1,"feature 55","feature 171",4,1.4142135623731
"912","location 1090","1","severity_type 1",1,2,4,2,1,"feature 81","feature 202",6,1.4142135623731
"914","location 714","1","severity_type 2",2,1,1,1,2,"feature 170","feature 170",1,NA
"917","location 448","1","severity_type 2",2,2,3,3,1,"feature 312","feature 312",6,0
"918","location 271","0","severity_type 2",2,2,1,1,1,"feature 308","feature 308",2,0
"920","location 288","0","severity_type 2",2,2,2,1,1,"feature 232","feature 312",3,0.707106781186548
"922","location 790","1","severity_type 1",2,4,3,1,2,"feature 306","feature 223",6,1
"924","location 734","2","severity_type 1",2,4,10,3,1,"feature 82","feature 71",23,3.09569593683445
"926","location 1064","0","severity_type 1",1,2,2,2,1,"feature 318","feature 318",4,0
"928","location 836","0","severity_type 1",1,2,50,49,1,"feature 195","feature 73",99,0.707106781186548
"929","location 476","0","severity_type 2",2,4,5,1,1,"feature 232","feature 307",11,2.06155281280883
"938","location 1107","2","severity_type 2",1,2,2,1,1,"feature 82","feature 71",3,0.707106781186548
"943","location 252","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"946","location 114","0","severity_type 1",2,2,1,1,1,"feature 134","feature 134",2,0
"948","location 1038","1","severity_type 1",1,3,6,2,1,"feature 170","feature 68",12,2
"949","location 651","0","severity_type 1",1,3,1,1,1,"feature 83","feature 83",3,0
"952","location 13","0","severity_type 1",2,4,11,1,2,"feature 68","feature 345",14,5
"954","location 618","0","severity_type 1",2,3,1,1,2,"feature 162","feature 162",3,0
"957","location 921","0","severity_type 2",1,2,4,1,1,"feature 82","feature 56",5,2.12132034355964
"958","location 313","0","severity_type 2",2,4,2,1,1,"feature 313","feature 312",6,0.577350269189626
"959","location 1097","1","severity_type 1",1,2,3,2,1,"feature 68","feature 170",5,0.707106781186548
"961","location 925","0","severity_type 1",1,3,155,1,1,"feature 54","feature 68",188,81.4514170124335
"967","location 892","2","severity_type 1",3,6,6,1,1,"feature 283","feature 290",27,1.87082869338697
"968","location 255","0","severity_type 1",3,4,1,1,1,"feature 219","feature 219",4,0
"969","location 1079","0","severity_type 1",1,1,2,2,1,"feature 328","feature 328",2,NA
"971","location 485","0","severity_type 2",2,5,5,2,1,"feature 232","feature 315",18,1.14017542509914
"972","location 2","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"975","location 836","0","severity_type 2",1,2,4,1,1,"feature 73","feature 195",5,2.12132034355964
"978","location 802","1","severity_type 2",3,3,2,1,3,"feature 306","feature 54",5,0.577350269189626
"980","location 135","0","severity_type 2",2,4,8,1,1,"feature 312","feature 221",19,3.77491721763537
"984","location 445","0","severity_type 2",2,2,8,6,1,"feature 312","feature 232",14,1.4142135623731
"988","location 945","0","severity_type 1",1,2,13,12,1,"feature 81","feature 202",25,0.707106781186548
"989","location 38","1","severity_type 4",2,3,2,1,2,"feature 240","feature 153",4,0.577350269189626
"991","location 946","0","severity_type 1",1,2,4,3,1,"feature 195","feature 73",7,0.707106781186548
"992","location 579","0","severity_type 1",1,2,3,3,1,"feature 195","feature 195",6,0
"998","location 878","0","severity_type 1",1,2,6,6,1,"feature 195","feature 195",12,0
"999","location 704","1","severity_type 2",1,3,4,2,1,"feature 82","feature 71",8,1.15470053837925
"1002","location 665","1","severity_type 1",1,2,11,9,1,"feature 55","feature 171",20,1.4142135623731
"1003","location 244","0","severity_type 2",2,2,12,12,1,"feature 232","feature 232",24,0
"1005","location 1118","0","severity_type 1",1,2,1,1,1,"feature 170","feature 170",2,0
"1006","location 603","0","severity_type 1",1,1,2,2,1,"feature 54","feature 54",2,NA
"1014","location 118","0","severity_type 1",3,4,14,1,1,"feature 312","feature 219",29,7.22841614740048
"1015","location 1088","0","severity_type 2",2,2,2,1,2,"feature 68","feature 54",3,0.707106781186548
"1019","location 464","0","severity_type 2",2,2,2,2,1,"feature 232","feature 232",4,0
"1020","location 480","0","severity_type 2",2,4,2,1,1,"feature 312","feature 307",5,0.5
"1022","location 767","2","severity_type 1",2,4,4,1,2,"feature 179","feature 273",12,1.4142135623731
"1028","location 332","1","severity_type 1",2,3,1,1,1,"feature 134","feature 134",3,0
"1030","location 692","1","severity_type 2",1,4,2,1,1,"feature 54","feature 170",5,0.5
"1031","location 763","1","severity_type 2",1,3,24,1,1,"feature 82","feature 203",27,13
"1035","location 618","0","severity_type 1",4,3,2,1,3,"feature 46","feature 162",4,0.577350269189626
"1040","location 122","0","severity_type 2",2,2,1,1,1,"feature 313","feature 313",2,0
"1044","location 744","0","severity_type 4",1,2,1,1,1,"feature 306","feature 306",2,0
"1046","location 710","0","severity_type 2",1,2,2,1,1,"feature 73","feature 195",3,0.707106781186548
"1047","location 373","0","severity_type 2",2,4,33,5,1,"feature 232","feature 233",71,13.8894444333338
"1048","location 996","1","severity_type 2",1,2,2,1,1,"feature 80","feature 201",3,0.707106781186548
"1050","location 881","0","severity_type 1",2,3,2,1,2,"feature 273","feature 179",5,0.577350269189626
"1051","location 480","0","severity_type 2",2,4,33,28,1,"feature 310","feature 228",122,2.38047614284762
"1054","location 1084","1","severity_type 1",1,1,2,2,1,"feature 68","feature 68",2,NA
"1064","location 976","2","severity_type 1",2,4,22,1,1,"feature 82","feature 201",34,9.9498743710662
"1065","location 600","0","severity_type 2",1,2,88,35,1,"feature 82","feature 203",123,37.476659402887
"1069","location 126","0","severity_type 2",2,5,5,1,1,"feature 313","feature 235",10,1.73205080756888
"1070","location 805","0","severity_type 1",1,1,1,1,1,"feature 51","feature 51",1,NA
"1071","location 445","0","severity_type 2",2,2,3,3,1,"feature 232","feature 232",6,0
"1072","location 1086","2","severity_type 2",1,2,8,6,1,"feature 82","feature 203",14,1.4142135623731
"1077","location 318","0","severity_type 2",2,2,3,3,1,"feature 232","feature 232",6,0
"1079","location 135","1","severity_type 2",2,2,2,1,1,"feature 312","feature 232",3,0.707106781186548
"1080","location 664","0","severity_type 1",1,2,8,8,1,"feature 171","feature 171",16,0
"1085","location 497","0","severity_type 2",2,5,131,1,1,"feature 232","feature 315",346,48.1061326651811
"1086","location 1093","0","severity_type 1",1,1,2,2,1,"feature 87","feature 87",2,NA
"1087","location 1107","0","severity_type 2",1,2,6,1,1,"feature 82","feature 71",7,3.53553390593274
"1090","location 246","1","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"1094","location 448","0","severity_type 2",2,2,4,3,1,"feature 312","feature 232",7,0.707106781186548
"1097","location 491","0","severity_type 2",2,6,4,1,1,"feature 312","feature 235",10,1.211060141639
"1098","location 891","0","severity_type 1",1,2,4,4,1,"feature 195","feature 195",8,0
"1101","location 465","0","severity_type 2",2,4,43,1,1,"feature 312","feature 307",76,21.3541565040626
"1102","location 600","2","severity_type 2",1,2,13,9,1,"feature 82","feature 203",22,2.82842712474619
"1103","location 896","0","severity_type 2",3,4,2,1,1,"feature 368","feature 290",6,0.577350269189626
"1104","location 760","1","severity_type 1",3,6,37,1,2,"feature 87","feature 26",64,14.2079789789634
"1105","location 467","0","severity_type 1",2,3,1,1,1,"feature 301","feature 301",3,0
"1107","location 1107","1","severity_type 1",2,4,28,2,1,"feature 82","feature 80",36,12.7017059221718
"1108","location 345","0","severity_type 1",3,7,6,1,1,"feature 312","feature 301",16,2.21466970556828
"1110","location 1042","2","severity_type 2",1,2,37,14,1,"feature 82","feature 203",51,16.2634559672906
"1111","location 915","1","severity_type 1",1,1,3,3,1,"feature 170","feature 170",3,NA
"1112","location 794","0","severity_type 1",2,2,7,5,2,"feature 163","feature 47",12,1.4142135623731
"1115","location 244","0","severity_type 2",2,2,23,10,1,"feature 232","feature 312",33,9.19238815542512
"1116","location 470","0","severity_type 1",2,5,4,4,1,"feature 219","feature 219",20,0
"1117","location 17","0","severity_type 2",1,1,2,2,1,"feature 68","feature 68",2,NA
"1118","location 241","0","severity_type 2",2,4,1,1,1,"feature 313","feature 313",4,0
"1120","location 1115","0","severity_type 1",1,2,4,4,1,"feature 73","feature 73",8,0
"1126","location 1019","0","severity_type 1",2,6,4,1,1,"feature 82","feature 172",12,1.09544511501033
"1131","location 495","0","severity_type 2",2,14,109,1,1,"feature 232","feature 235",429,38.8500215678727
"1132","location 814","0","severity_type 1",1,3,54,11,1,"feature 70","feature 191",93,21.6564078277077
"1134","location 16","2","severity_type 1",1,2,10,6,1,"feature 155","feature 170",16,2.82842712474619
"1136","location 520","0","severity_type 2",2,2,8,8,1,"feature 232","feature 232",16,0
"1137","location 881","1","severity_type 1",1,1,1,1,1,"feature 345","feature 345",1,NA
"1142","location 126","0","severity_type 2",2,6,16,1,1,"feature 313","feature 315",54,6.60302960768767
"1143","location 878","0","severity_type 2",1,2,6,4,1,"feature 73","feature 195",10,1.4142135623731
"1144","location 734","2","severity_type 1",2,4,24,2,1,"feature 82","feature 71",43,10.3722385883344
"1148","location 419","1","severity_type 1",2,5,1,1,1,"feature 134","feature 134",5,0
"1152","location 891","0","severity_type 1",1,1,4,4,1,"feature 73","feature 73",4,NA
"1154","location 252","1","severity_type 1",3,4,2,1,2,"feature 160","feature 94",5,0.5
"1159","location 234","0","severity_type 2",2,3,1,1,1,"feature 312","feature 312",3,0
"1162","location 122","0","severity_type 2",2,6,3,1,1,"feature 315","feature 232",15,0.836660026534076
"1164","location 794","2","severity_type 1",4,10,63,2,4,"feature 170","feature 222",140,25.3026129524645
"1165","location 509","0","severity_type 2",2,14,30,1,1,"feature 314","feature 315",96,8.17930919461411
"1166","location 584","0","severity_type 1",1,2,4,2,1,"feature 73","feature 195",6,1.4142135623731
"1171","location 696","1","severity_type 1",1,2,16,3,1,"feature 54","feature 170",19,9.19238815542512
"1172","location 344","0","severity_type 2",2,2,4,3,1,"feature 232","feature 312",7,0.707106781186548
"1177","location 704","2","severity_type 2",1,2,22,11,1,"feature 82","feature 203",33,7.77817459305202
"1184","location 851","0","severity_type 1",5,5,4,1,4,"feature 54","feature 306",9,1.30384048104053
"1193","location 1067","1","severity_type 1",1,2,1,1,1,"feature 170","feature 170",2,0
"1194","location 726","1","severity_type 1",1,2,2,2,1,"feature 54","feature 54",4,0
"1196","location 627","0","severity_type 4",1,1,1,1,1,"feature 306","feature 306",1,NA
"1197","location 479","0","severity_type 2",2,2,10,5,1,"feature 314","feature 234",15,3.53553390593274
